roll_belt,pitch_belt,yaw_belt,total_accel_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,total_accel_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,total_accel_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z,classe
0.21,3.43,-88.3,5,0.1,0.02,0.03,-13,-1,43,38,629,-305,0,0,0,36,-0.02,-0.1,0.1,-253,181,-165,-300,462,413,58.38329359,-52.48862323,-73.03209334,33,1.09,-0.34,-2.08,-160,176,-213,-501,348,94,120,8.37,112,39,-1.8,4.58,0.48,231,294,-56,-527,736,1080,B
119,16.3,-2.36,18,0.1,0.13,-0.18,-19,63,-167,24,599,-336,-36.7,-8.58,-39,7,2.09,-1.33,1.53,-42,-52,28,488,147,444,109.225388,41.53224862,-22.37798097,5,-0.1,-0.18,-0.16,20,44,-11,-363,501,-49,-64.7,37.3,-150,45,-0.51,1.67,0.08,-423,-116,10,-632,11,337,D
2.02,4.64,-86.7,3,-0.06,0,0,-14,3,27,75,571,-428,99.8,-22.7,-1.33,19,-4.16,1.43,-0.23,57,102,-144,724,-99,-107,74.88315479,13.05200213,80.49982514,10,-1.85,1.17,0.71,13,68,72,-456,191,306,179,4.54,117,35,-0.31,-0.32,0.31,-128,249,201,-723,1180,-533,E
1.16,6.72,-93.5,3,0.06,0,-0.03,-18,4,28,-8,606,-306,16.2,8.67,12.7,35,0.77,-0.1,0.25,155,-15,-301,653,-207,-275,40.9571262,-47.24891185,92.13721941,2,-0.08,0.05,0.1,-8,7,14,-515,361,-72,47,-40.5,-163,42,0.21,-2.25,-0.59,76,357,-192,-335,750,571,A
122,27.2,-5.89,20,-0.63,-0.03,-0.51,-35,68,-178,-9,588,-362,149,-52,60.9,26,2.49,-1.67,-0.54,225,31,123,543,317,297,-102.3451451,-3.462486331,54.59955766,9,0.63,-0.67,0.03,-3,-74,45,390,-630,-140,117,4.76,78.7,40,-0.1,1.77,0.46,123,335,-160,-184,766,751,B
0.77,5.3,-87.9,5,0,0,0,-14,3,45,52,638,-310,0,0,0,39,-0.02,0.02,0.03,-278,160,-199,-427,450,348,46.70229982,-50.11898789,-85.20372879,30,0.35,0.14,-0.39,-143,134,-224,-561,296,13,48.1,-63.2,169,32,0.14,-0.21,0.21,220,96,-199,130,536,686,A
1.03,2.7,-87.1,3,-0.24,-0.02,0,-3,6,25,54,622,-327,0,0,0,32,0.13,-0.08,-0.03,-218,214,-57,-404,432,386,64.43358186,-50.95848281,-68.59794902,28,-0.18,0.42,0.38,-134,165,-174,-541,277,109,172,20.7,-101,50,0.64,-0.26,0.34,-55,-406,-264,-44,-661,-102,B
121,-43.9,174,18,0.1,0.11,-0.18,50,49,-159,166,613,-307,23.2,-26,-36.4,28,0.66,-0.67,0.95,159,-123,-183,741,-79,-166,66.49084174,-28.06857209,-82.80397115,16,0.08,0.02,-0.23,-44,98,-117,-536,309,45,0,0,0,52,0.71,2.6,1.41,-248,442,3,-632,664,703,A
126,-43.4,164,18,0.11,0.11,-0.16,50,44,-161,167,601,-310,-27.8,-44.4,-9.73,25,-2.39,0.19,0.56,103,-108,-191,719,-82,-229,108.3327746,4.419045018,-48.5106926,21,-0.21,0.66,0.16,9,180,-95,-252,533,131,0,0,0,43,1.11,1.03,0.89,-7,425,-24,-89,755,567,B
1.81,2.9,-87.7,2,-0.08,0.02,0,-7,3,21,48,567,-433,89.6,-41.1,1.51,21,-3.36,0.42,-0.74,115,81,-154,732,-89,-60,98.39366447,44.42405267,35.67064989,4,0.11,0.34,-0.25,16,31,13,-326,344,315,-165,-1.69,-48.4,26,-0.02,-2.28,0.3,132,-141,173,371,-782,86,A
122,25.2,-4.03,19,-0.43,-0.03,-0.49,-41,70,-172,6,591,-360,32.6,42.8,-19.4,34,1.85,-1.11,-0.15,324,23,60,647,196,253,-38.49907095,18.88966269,113.7485156,10,0.29,0.18,-0.38,18,-36,87,499,-553,-89,-153,47.2,-129,27,0.24,-2.42,-0.52,-135,-100,-207,-404,-399,154,D
1.44,3.32,-87.4,4,-0.21,-0.02,0.02,-13,3,38,47,627,-303,0,0,0,37,1.14,-0.61,0.07,-273,219,-97,-384,458,367,49.07429858,-54.41550764,-79.52842108,29,0.31,0.27,-0.34,-145,132,-200,-551,247,103,133,24.5,132,42,0.96,-5.48,-1.25,207,328,-141,-598,655,819,C
138,27.2,2.49,20,-0.56,-0.03,-0.43,-11,49,-193,-36,506,-486,17.2,25.2,-64.5,17,2.3,-1.03,0.49,-44,26,160,-320,343,534,-24.09651389,8.803366191,131.3651179,8,0.83,-0.27,-0.05,7,-19,77,441,-590,-112,118,-6.82,84.5,34,0.34,0.75,0.23,70,277,-170,-176,762,653,E
128,24.4,16.2,20,-0.47,-0.02,-0.97,-76,64,-174,-9,589,-353,99.7,3.97,5.27,24,-4.59,1.93,0.15,223,-7,84,755,30,84,-78.27083716,-12.23593314,77.31894925,15,0.75,1.38,-0.77,-18,-104,103,290,-678,-70,-180,22.6,-97.7,52,0.02,0.93,-0.13,26,-367,-359,4,-724,-216,E
115,17,-5.18,17,0.11,0.1,-0.16,-18,62,-154,16,605,-299,-70.1,-29.8,30.4,30,-1.7,0.05,1.12,129,-153,-219,637,-127,-285,52.50406393,20.78905246,99.78876764,7,-0.16,0.08,0.07,14,34,57,-412,470,-62,10.3,23.8,-105,25,-0.39,2.54,0.85,-201,125,46,-569,698,686,B
-1.82,6.55,-92.8,2,-0.11,-0.05,-0.44,-18,-4,5,5,602,-343,102,-38.5,15.9,14,3.66,-2.23,0.52,20,115,-79,756,-13,146,95.97991414,26.58428514,53.51742555,13,0,0.93,-0.13,34,106,66,-360,488,94,175,37.2,-173,29,-0.53,-4.64,-1.33,-42,166,-223,-661,89,483,E
154,-30.2,126,24,0.29,0.1,-0.57,63,52,-217,150,529,-449,-17.9,-4.53,-55.8,15,0.13,-0.48,0.69,-97,-63,88,251,162,604,57.43822732,-29.92231768,-90.443274,18,0.19,-0.21,0.05,-51,94,-136,-511,345,52,0,0,0,51,1.06,0.82,0.66,-177,463,-31,-461,762,557,E
117,17.9,-2.12,18,0.03,0.11,-0.18,-17,60,-160,22,604,-309,-65.8,-33.2,5.82,23,-1.14,-0.1,0.67,147,-131,-108,732,-52,-32,99.93056646,56.94439972,4.31464951,5,-0.08,-0.05,0.05,25,39,2,-317,531,-41,-97.7,50.2,-144,47,-0.27,-0.79,-0.54,-421,-190,0,-581,-124,209,D
119,17.4,-0.81,18,0.06,0.11,-0.18,-24,63,-162,19,597,-335,-44.7,-16.6,-31,7,-1.91,0.22,0.41,51,-41,-16,669,73,228,68.81270474,-24.67626755,82.2424836,2,-0.27,0.1,0.08,-5,13,15,-484,391,-170,22.4,2.12,-78.7,13,0.24,-0.67,0.03,-41,124,12,-97,727,521,A
122,39.9,1.63,20,0.03,0.11,-0.15,-63,64,-169,10,586,-353,141,-28.9,118,32,0.27,-0.53,0.8,-297,-44,-74,-412,268,529,-73.62207175,-31.87323782,73.62207175,2,-0.06,0.13,-0.02,-7,-15,15,-539,311,-106,-1,-2.55,-82.5,1,-0.03,0.06,-0.03,6,-2,-6,70,610,434,A
1.05,5.53,-92.7,3,-0.06,0.02,-0.07,-12,2,23,-2,601,-308,147,-36.6,-57.2,37,2.54,-1.2,0.49,95,-38,-351,505,-286,-382,103.6493739,51.98880165,11.21862649,15,0.05,-1.33,-0.38,71,123,16,-170,595,-22,129,24.6,119,34,-0.13,2.91,0.89,-28,298,-155,-562,675,731,B
127,-44.1,165,18,0.02,0.11,-0.21,50,48,-164,164,609,-322,23.9,58.9,-19.3,27,0.98,-1.01,1.18,-264,-24,4,-244,361,548,78.12661649,-18.14027596,-75.69672113,18,0.72,-0.56,-0.13,-31,121,-118,-520,306,94,0,0,0,32,1.7,-1.51,0.38,-314,37,-3,-391,-389,233,B
125,-41.1,161,17,0.16,0.11,-0.13,52,43,-153,166,614,-301,-124,62.3,-145,26,0.24,-0.55,1.05,-242,-75,5,-171,241,641,44.7675498,-27.32287648,-103.5506514,18,0.16,0.05,-0.03,-48,77,-153,-568,241,46,0,0,0,35,1.04,0.18,-0.18,-44,337,44,-258,826,804,A
0.2,4.18,-89.5,3,0.08,-0.02,-0.05,-6,5,30,45,576,-424,95.8,20,115,34,-0.4,0.21,0.11,-248,170,-136,-432,333,462,45.03938248,62.8191108,75.04958983,14,1.09,-0.85,-0.33,81,60,94,-66,390,406,-179,23.5,111,36,-0.26,-0.16,0.39,-90,266,213,-665,1160,-547,B
119,17.6,-0.26,18,0.13,0.1,-0.18,-28,63,-163,14,597,-340,-52.6,-31.8,-12.9,14,2.06,-1.04,0.8,82,-103,-40,722,23,169,104.8304294,44.81390806,-25.01959204,2,0.05,0.26,-0.13,7,14,-4,-380,486,-53,-89.1,48.6,-143,47,-0.53,2.17,0.21,-427,-175,4,-590,-102,284,D
1.04,7.95,-93.9,3,-0.05,0,-0.03,-21,3,19,2,602,-313,83.1,-49.4,20.3,23,-1.24,0.13,0.38,75,3,-213,763,-181,138,-13.02822043,-54.64480832,100.5520233,2,0.05,-0.31,-0.38,-8,-2,13,-550,291,-23,-177,48.4,172,38,-0.11,-2.3,-0.49,-231,204,-202,-679,230,460,D
1.93,2.51,-87.6,3,-0.06,0.02,-0.05,-5,4,27,39,567,-422,130,-35.6,-45.7,32,-3.79,1,0.25,96,40,-299,569,-201,-364,62.47526974,51.65839955,69.89135859,16,-0.42,0.77,0.25,76,90,99,-144,392,389,174,10.8,-18.7,40,-0.58,3.53,0.97,265,211,200,576,-431,53,E
111,27.2,-13.8,17,0.1,0.08,-0.11,-19,62,-155,46,602,-328,168,-62.2,73.9,32,0.27,-0.48,0.75,-300,-44,-75,-421,276,507,-113.8119228,-17.66292015,39.05637998,3,-0.1,0.19,0.1,-6,-31,13,-556,292,-166,0.01,-1.93,-81.4,1,-0.22,-0.03,-0.33,7,-2,-7,74,602,425,A
127,-40.8,161,18,0.13,0.11,-0.16,48,45,-162,172,599,-321,-23.6,-48.5,-11.1,16,0.87,-0.61,0.67,101,-100,-72,733,-37,153,49.47197186,-29.89185599,-97.79813667,17,0.13,0.02,-0.18,-49,79,-138,-561,262,73,0,0,0,46,1.16,2.18,0.85,-300,343,-1,-667,571,603,C
0.85,8.91,-94,4,0.02,0,-0.03,-21,4,27,7,603,-307,136,-59,-58.1,37,0.98,-0.32,0.1,120,-27,-337,667,-294,-251,43.12864637,6.972979491,113.3152926,1,0.02,0.03,-0.08,1,6,13,-536,311,-3,-150,49.5,-139,24,-0.51,-3.07,-0.94,-123,-2,-201,-520,-197,400,D
4.79,4.1,-92.7,2,-0.1,0.03,-0.52,-7,8,-11,2,561,-392,55.9,-6.96,60.9,19,1.04,-0.51,0.02,-75,157,52,246,223,550,99.34891883,50.28462098,25.90438366,24,-0.1,1.78,-0.07,111,193,59,-22,614,47,-143,12.7,-68,34,0.03,2.84,0.57,19,-212,-256,141,-699,-156,E
1.37,3.45,-88.7,3,0.02,0,-0.02,-7,4,27,35,573,-419,78.7,-35.6,33.4,14,-3.5,0.74,-0.84,48,111,-58,686,-88,227,-123.264653,-33.13289917,-6.510599022,3,0.16,-0.26,-0.26,-10,-29,-2,-440,240,288,-173,-0.11,-38.6,26,-0.35,-3.15,-0.21,152,-108,175,515,-830,151,A
138,21.1,18.3,23,-0.66,-0.06,-0.98,-52,51,-218,2,544,-431,98.5,22.6,46.4,23,-5.57,1.61,0.11,51,86,202,440,214,470,-3.403163539,15.9458546,140.7685755,9,0.93,0.35,-0.92,14,-3,87,559,-475,-42,175,21.2,-103,54,0.63,-2.09,-0.21,96,-413,-315,-35,-716,-238,E
1.43,3.16,-87.7,3,0,0,-0.05,-7,2,27,49,570,-434,118,-39.6,-48.1,42,-1.8,0.32,-0.21,160,50,-372,544,-123,-392,121.7602366,34.81826577,5.689570482,4,0.31,0.1,-0.28,12,33,2,-311,374,307,-167,-8.38,-17.2,23,-0.34,-3.21,-0.51,161,23,162,479,-543,-17,A
117,17.1,-4.55,18,0.1,0.11,-0.18,-22,61,-160,14,598,-324,-65,-29.4,22.5,29,3,-1.36,0.98,115,-157,-212,681,-145,-192,82.17830682,17.17270599,71.96546578,13,-0.13,1.14,0.38,21,90,81,-355,510,-37,16.5,31.6,-109,22,-0.11,-3.03,-1.15,-126,173,14,-465,711,528,B
1.36,5.26,-91.2,2,0,-0.02,0,-10,4,21,13,607,-305,161,-19.4,-88.2,45,1.09,-0.47,-0.43,-13,-79,-429,122,-350,-490,-92.20795397,-2.414961171,64.81111078,4,0,-0.18,-0.18,-1,-33,25,-564,234,61,146,20,124,39,-0.27,2.84,0.71,-54,335,-179,-552,641,558,C
1.45,6.93,-93.2,3,-0.05,-0.02,-0.07,-19,1,18,4,609,-305,80.3,-20.9,58,18,2.25,-1.45,0.62,-61,167,-5,451,184,446,86.49552552,69.56673871,10.03084236,15,0.02,-0.55,-0.18,96,114,15,-124,603,11,141,-0.33,94.4,40,0.06,1.83,0.36,70,326,-199,-254,748,573,B
113,22.8,-13.8,18,0.21,0.11,-0.13,-26,66,-159,18,604,-323,-83.7,-64.5,-73.3,32,0.26,-0.51,0.8,-299,-44,-79,-417,294,506,-103.9696875,-34.31850258,38.8228243,5,0.29,0.29,-0.16,-16,-41,18,-551,288,-141,12.3,18.1,-105,22,0.35,0.05,0.18,-188,104,1,-410,736,521,A
1.49,2.82,-88.6,3,-0.1,0,-0.05,-7,5,24,43,564,-439,88.9,1.11,62,27,3.23,-1.24,0.18,-132,231,18,207,258,560,-109.665536,-31.94101118,-33.78414908,6,0.55,-0.39,-0.61,-18,-51,-19,-527,105,250,177,14.4,-30.7,24,-0.32,4.69,1.12,167,67,156,493,-749,95,C
125,26.3,-1.19,20,-0.51,-0.02,-0.44,-40,68,-180,5,576,-388,166,-28.6,23.5,42,1.4,-1.11,0.25,405,-30,24,736,66,77,-20.4999976,19.51089951,128.5838977,11,0.66,0.08,-0.67,20,-21,99,510,-545,-37,90.3,4.74,102,34,0.16,0.03,0,143,238,-190,-165,745,576,A
122,-44.9,178,18,0.14,0.11,-0.08,57,46,-160,222,579,-332,30,76.8,-137,13,0.82,-0.16,-2.28,-111,34,-49,210,458,387,46.86036198,-28.25346154,-101.1302018,18,0.16,0.08,-0.11,-50,81,-152,-560,255,46,0,0,0,13,-0.05,0.39,-0.2,78,92,40,644,-221,-41,A
129,-40,163,18,0.13,0.11,-0.18,48,44,-167,176,589,-352,-29.9,5.48,103,28,0.22,-0.51,0.79,-272,-54,-25,-303,281,606,43.01011739,-29.32804824,-103.8655915,18,0.11,0.05,-0.02,-52,75,-155,-579,236,23,0,0,0,12,1.49,0.74,0.69,68,96,30,648,-118,102,A
120,13.5,4.42,18,0.21,0.1,-0.2,-23,59,-162,42,596,-332,-47.7,-24,-17,16,-0.03,-0.39,0.64,99,-102,-62,702,15,179,-60.12642167,-78.53981634,-43.81490306,1,-0.1,-0.05,0.16,-5,-4,-3,-474,406,-24,41.5,20.7,-36.1,15,0.11,-0.31,-0.05,-90,115,11,-153,750,569,D
108,32.5,-15.3,16,0.06,0.1,-0.21,-26,50,-148,60,609,-311,147,-39.4,111,32,0.32,-0.45,0.62,-305,-38,-81,-426,287,501,-81.16492889,-23.11335378,70.63521056,3,-0.03,0.11,-0.13,-6,-19,17,-547,296,-85,-0.54,-1.85,-82.2,1,-0.03,0.08,-0.08,4,0,-5,71,609,450,A
-1.76,2.46,-86.4,2,-0.02,0.19,0.26,-2,-6,19,44,629,-305,0,0,0,31,-4.7,1.99,-0.95,-209,215,-11,433,225,462,82.3108461,-46.61151064,-53.54671795,30,0.31,-0.32,-0.57,-133,217,-151,-313,479,162,160,-13.3,71.9,45,0.79,-2.04,0.26,158,383,-140,-56,716,750,E
123,25.8,-4.27,19,-0.47,-0.03,-0.48,-37,71,-172,9,575,-373,77.4,48.6,52.2,19,-2.23,0.72,-0.57,64,31,175,52,292,608,-72.38304637,-11.06019559,83.47072902,13,0.4,-0.82,0.3,-14,-84,94,377,-635,-80,150,25.6,152,35,-0.61,3.69,1.12,-116,278,-156,-720,386,672,C
138,24.6,20.5,22,-0.5,-0.02,-0.39,-40,65,-204,24,539,-440,138,42.5,113,1,-0.18,-0.18,0,4,8,7,-378,395,443,-8.66314723,36.49557926,119.4750011,9,0.13,-0.85,0.2,33,-8,86,479,-555,-45,167,18.5,-101,41,0.58,-3.03,-0.94,3,-287,-283,-10,-743,-326,E
118,13.8,-1.65,18,0.11,0.11,-0.15,-18,63,-161,29,597,-329,-43.6,-20.5,-32.7,4,2.97,-1.65,1.2,4,-31,26,608,128,320,-106.4554648,-48.76162427,12.52663588,7,0.05,0.31,-0.1,-30,-56,8,-451,418,-5,20.7,18.4,-85.3,18,0.4,-2.46,-0.71,-59,148,69,-253,768,662,C
115,16.4,-6.6,17,0.06,0.11,-0.21,-16,62,-153,16,609,-316,-40.1,4.19,-61.9,21,-3.24,0.47,0.74,-178,-38,97,292,189,569,91.37856732,56.13352089,30.40934112,15,-0.18,0.59,-0.03,80,119,45,-149,611,-60,-50.1,-7.06,132,52,-0.48,1.41,-0.03,-363,-362,-23,-197,-577,-8,B
-18.2,-1.84,-87.2,7,0.06,-0.18,-0.79,-13,3,64,2,641,-269,110,-21.9,-20.5,31,3.95,-1.43,0.26,95,64,-280,683,-141,-221,52.66002952,16.83261367,101.2450579,10,-0.4,0.56,0.03,16,48,81,-265,318,375,179,16.5,-34.9,19,-0.35,-4.11,-0.48,90,-44,161,426,-650,8,D
121,-43.5,172,17,0.11,0.11,-0.16,50,45,-155,169,613,-307,-59.8,82.4,-116,25,0.58,-0.69,0.95,-245,-41,11,-207,290,604,56.30087381,-26.72865133,-93.29005919,19,0.37,0.16,-0.18,-48,97,-146,-527,338,10,0,0,0,54,1.54,-2.57,0.28,-131,507,-49,-453,745,494,A
1.34,6.91,-92.7,3,0.05,0,0.02,-16,4,25,10,607,-304,62,-5.9,77,25,2.18,-0.82,-0.02,-179,166,6,101,265,587,-107.8434437,-34.08150983,-34.08150983,3,-0.06,-0.31,-0.33,-11,-29,-11,-600,179,-28,115,7.12,115,38,0.26,2.83,1.08,29,328,-170,-454,725,656,B
126,-41.2,164,18,0.05,0.11,-0.18,47,46,-162,164,599,-315,28.1,70.4,-40,33,0.45,-0.35,0.71,-304,-31,-92,-439,456,351,43.1595985,-39.13214383,-96.90324565,17,0.19,-0.03,0.07,-62,68,-134,-553,236,92,0,0,0,46,1.8,-3.26,-0.54,-268,360,-41,-704,348,666,C
-2.78,4.38,-91.8,2,-0.31,-0.03,-0.46,-17,-9,5,12,590,-343,117,-41.5,-5.96,15,3.74,-2.36,0.57,67,50,-124,773,-179,8,82.90486662,37.75504007,60.18066321,16,0,0.82,0.11,56,112,86,-276,487,183,161,31.8,161,34,0.24,-4.69,-0.94,-48,258,-207,-691,378,526,E
0.96,4.47,-87.7,3,0.08,0,-0.03,-9,3,29,55,568,-412,54.5,-21.7,23.5,16,2.47,-0.59,0.18,71,130,-41,622,12,330,105.4506175,38.63944801,32.4541305,4,0.34,-0.58,-0.43,13,30,11,-360,328,300,-157,-34.2,13.8,35,-0.22,-3.02,-0.2,194,221,178,430,-96,-72,A
1.43,4.53,-87.7,4,-0.1,-0.03,-0.02,-8,-1,34,50,627,-318,0,0,0,38,-0.11,-0.08,0.23,-286,159,-178,-417,434,383,56.2662779,-50.27272093,-76.86887083,30,0.37,0.11,-0.39,-140,155,-202,-522,330,65,56,-37.8,160,33,0.11,-0.21,0.39,208,134,-203,127,563,617,A
127,-43.3,163,18,0.1,0.11,-0.2,47,43,-161,167,602,-303,-135,-77.5,135,43,0.14,-0.67,0.77,62,-187,-374,264,-151,-550,104.9761023,-10.92497352,-50.71528123,21,-0.35,1.04,-0.02,-22,175,-98,-346,480,145,0,0,0,44,1.27,0.03,0.28,-23,429,-19,-139,780,629,B
0.66,4.45,-87.7,4,0.02,-0.02,-0.03,-5,4,35,59,592,-395,87.1,46.9,95.3,30,0.11,0.1,-0.16,-225,153,-119,-381,224,584,13.55617035,-56.79886387,98.28487316,39,0.03,0,0,-203,51,314,-422,242,302,-139,-68,80.6,34,0.03,-0.27,0.39,-43,256,213,-440,968,-389,A
1.81,3.6,-87.8,3,-0.06,0.02,-0.02,-6,3,24,44,570,-432,85.4,-43.1,-0.86,20,-3.47,0.37,-0.39,98,73,-159,724,-103,-84,42.05343353,95.53166181,42.05343353,1,0.08,0.45,-0.3,6,3,3,-361,332,320,-160,2.82,-45.1,24,-0.1,-2.33,0.23,99,-150,158,267,-700,10,A
1.38,5.83,-92.7,3,-0.02,0,-0.05,-14,4,24,-3,605,-297,71.3,15.6,104,31,1.14,-0.5,0.08,-269,127,-77,-314,351,523,96.87234065,13.77962246,58.16965592,1,0.02,0.34,0.31,2,12,8,-561,267,-47,120,-26.6,105,39,0.31,-0.06,0.23,117,279,-231,-135,690,404,B
122,26.2,-5.55,20,-0.48,-0.02,-0.43,-44,69,-181,-2,582,-356,132,24.1,44.5,20,3.53,-1.96,-1.16,147,82,97,481,396,278,-107.9873094,-40.18964955,26.62827031,14,0.42,0.61,-0.8,-55,-124,37,186,-706,-193,140,-8.29,81.7,35,-0.13,0.34,-0.2,84,275,-188,-105,722,673,B
117,18.1,-4.84,18,0.11,0.11,-0.21,-26,62,-163,16,606,-331,-63.7,-27.8,-118,33,0.27,-0.45,0.72,-313,-51,-59,-392,283,534,-29.80012196,-17.70902352,122.1320586,3,0.11,0.11,-0.16,-6,-10,32,-518,334,-168,-43.1,3.22,-178,45,0.39,-1.99,-0.82,-373,-232,17,-575,-132,302,A
1.2,7.28,-93.1,3,0.02,0,-0.03,-19,3,27,2,606,-297,81.6,-42.3,34.2,14,2.71,-1.28,0.08,16,111,-71,661,50,302,26.06023917,0,131.0193935,2,-0.02,0.02,0.11,0,4,15,-543,307,-15,71.8,37,127,31,-0.27,2.94,0.98,-94,237,-157,-687,449,660,A
122,26.4,-4.79,19,-0.42,-0.02,-0.41,-41,68,-172,4,583,-381,-48.1,-11.9,-43.6,28,-2.91,0.69,0.15,243,15,120,552,228,355,18.41382732,42.46191101,110.3101243,4,0.51,0.13,-0.16,18,8,39,509,-537,-163,-150,54,-137,27,0.32,-2.59,-0.41,-189,51,-182,-613,-64,391,A
0.5,5.71,-88.3,5,0.02,0,0,-15,2,44,53,634,-300,0,0,0,38,0.05,0,-0.03,-281,153,-195,-422,456,339,45.88857758,-52.40970025,-83.88642006,30,0.37,0.16,-0.39,-148,131,-220,-561,290,-4,49.2,-58.8,164,33,0.03,-0.02,-0.03,231,96,-204,131,537,710,A
